%time,field.header.seq,field.header.stamp,field.header.frame_id,field.orientation.x,field.orientation.y,field.orientation.z,field.orientation.w,field.orientation_covariance0,field.orientation_covariance1,field.orientation_covariance2,field.orientation_covariance3,field.orientation_covariance4,field.orientation_covariance5,field.orientation_covariance6,field.orientation_covariance7,field.orientation_covariance8,field.angular_velocity.x,field.angular_velocity.y,field.angular_velocity.z,field.angular_velocity_covariance0,field.angular_velocity_covariance1,field.angular_velocity_covariance2,field.angular_velocity_covariance3,field.angular_velocity_covariance4,field.angular_velocity_covariance5,field.angular_velocity_covariance6,field.angular_velocity_covariance7,field.angular_velocity_covariance8,field.linear_acceleration.x,field.linear_acceleration.y,field.linear_acceleration.z,field.linear_acceleration_covariance0,field.linear_acceleration_covariance1,field.linear_acceleration_covariance2,field.linear_acceleration_covariance3,field.linear_acceleration_covariance4,field.linear_acceleration_covariance5,field.linear_acceleration_covariance6,field.linear_acceleration_covariance7,field.linear_acceleration_covariance8
1776135952273444864,89,1776135952273444864,base_link,0.02121258293590806,-0.18807063724120338,0.010683965991524432,0.9818682776236164,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0039706240482871,-0.0410806872688165,0.001832595714594,1.21846967915e-07,0.0,0.0,0.0,1.21846967915e-07,0.0,0.0,0.0,1.21846967915e-07,-0.0849452023,0.0167497582,10.0773723799,9e-08,0.0,0.0,0.0,9e-08,0.0,0.0,0.0,9e-08
1776135952380092928,90,1776135952380092928,base_link,0.02148592650839647,-0.19024911833544153,0.01083076733066062,0.9814409418878408,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0048869219055841,-0.0416915525070145,0.0010690141668465,1.21846967915e-07,0.0,0.0,0.0,1.21846967915e-07,0.0,0.0,0.0,1.21846967915e-07,-0.0885344362,0.0167497582,10.0761759686,9e-08,0.0,0.0,0.0,9e-08,0.0,0.0,0.0,9e-08
1776135952482580480,91,1776135952482580480,base_link,0.021714904112254147,-0.19237305758441972,0.010952034655020286,0.9810204496298396,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0042760566673861,-0.0423024177452125,0.0007635815477475,1.21846967915e-07,0.0,0.0,0.0,1.21846967915e-07,0.0,0.0,0.0,1.21846967915e-07,-0.0837487909999999,0.0191425808,10.0761759686,9e-08,0.0,0.0,0.0,9e-08,0.0,0.0,0.0,9e-08
1776135952584433920,92,1776135952584433920,base_link,0.02191323939731943,-0.19444495802432152,0.011074223108302882,0.9806061032956012,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.003665191429188,-0.041538836197465,0.000916297857297,1.21846967915e-07,0.0,0.0,0.0,1.21846967915e-07,0.0,0.0,0.0,1.21846967915e-07,-0.0897308475,0.023928226,10.0833544364,9e-08,0.0,0.0,0.0,9e-08,0.0,0.0,0.0,9e-08
1776135952685754368,93,1776135952685754368,base_link,0.022154498387217243,-0.19651157617162895,0.011234536680656337,0.9801868004708714,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0044287729769356,-0.0416915525070145,0.001527163095495,1.21846967915e-07,0.0,0.0,0.0,1.21846967915e-07,0.0,0.0,0.0,1.21846967915e-07,-0.0897308475,0.0155533468999999,10.0761759686,9e-08,0.0,0.0,0.0,9e-08,0.0,0.0,0.0,9e-08
1776135952787442432,94,1776135952787442432,base_link,0.022365999788665374,-0.19854022748489122,0.01135267788732199,0.9797717371043562,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0039706240482871,-0.0407752546497175,0.0007635815477475,1.21846967915e-07,0.0,0.0,0.0,1.21846967915e-07,0.0,0.0,0.0,1.21846967915e-07,-0.095712904,0.0203389920999999,10.0725867347,9e-08,0.0,0.0,0.0,9e-08,0.0,0.0,0.0,9e-08
1776135952888619776,95,1776135952888619776,base_link,0.022596334789965193,-0.20063277870548307,0.011498275695421268,0.9793383906592288,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0042760566673861,-0.0423024177452125,0.001221730476396,1.21846967915e-07,0.0,0.0,0.0,1.21846967915e-07,0.0,0.0,0.0,1.21846967915e-07,-0.0885344362,0.0167497582,10.0785687912,9e-08,0.0,0.0,0.0,9e-08,0.0,0.0,0.0,9e-08
1776135952990082048,96,1776135952990082048,base_link,0.022814837909072235,-0.2026777583089775,0.011619687655544369,0.9789107172346301,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0041233403578366,-0.041233403578366,0.0007635815477475,1.21846967915e-07,0.0,0.0,0.0,1.21846967915e-07,0.0,0.0,0.0,1.21846967915e-07,-0.1004985492,0.0227318147,10.0773723799,9e-08,0.0,0.0,0.0,9e-08,0.0,0.0,0.0,9e-08
1776135953091201280,97,1776135953091201280,base_link,0.023066278086979034,-0.2047360560272491,0.011799549212461563,0.9784742535274008,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0045814892864851,-0.0416915525070145,0.001832595714594,1.21846967915e-07,0.0,0.0,0.0,1.21846967915e-07,0.0,0.0,0.0,1.21846967915e-07,-0.0885344362,0.0299102825,10.0845508477,9e-08,0.0,0.0,0.0,9e-08,0.0,0.0,0.0,9e-08
1776135953192710144,98,1776135953192710144,base_link,0.02332963794171023,-0.20683116338738303,0.011998320533241128,0.9780248658136008,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0047342055960346,-0.0423024177452125,0.002138028333693,1.21846967915e-07,0.0,0.0,0.0,1.21846967915e-07,0.0,0.0,0.0,1.21846967915e-07,-0.0993021378999999,0.0083748791,10.0845508477,9e-08,0.0,0.0,0.0,9e-08,0.0,0.0,0.0,9e-08
